Kategorie,OriginalPath,Modell,EditType,InstructionOrPrompt,Seed,OutputPath
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_461.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,938904941,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_938904941.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_68.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,100223045,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_100223045.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_571.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,387014548,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_387014548.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_823.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,88498372,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_88498372.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_1021.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,713510898,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_713510898.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_58.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,177731207,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_177731207.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_49.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with warm artificial light,425568517,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-warm-artificial-light_425568517.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_777.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",328038049,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_328038049.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_975.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",460883211,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_460883211.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_571.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",97924384,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_97924384.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_12.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",1166415,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_1166415.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_983.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",511967312,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_511967312.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_746.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",142485314,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_142485314.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_162.jpg,stable_diffusion_15_imag2img,img2img,"portrait in a car, daylight through window",242870589,human_manipulated_stable_diffusion_15_imag2img_portrait-in-a-car-daylight-through-window_242870589.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_853.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",730125896,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_730125896.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_132.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",9971785,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_9971785.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_662.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",746891708,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_746891708.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_834.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",877364142,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_877364142.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_745.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",923783353,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_923783353.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_934.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",745210116,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_745210116.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_795.jpg,stable_diffusion_15_imag2img,img2img,"street portrait, overcast sky",512926732,human_manipulated_stable_diffusion_15_imag2img_street-portrait-overcast-sky_512926732.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_139.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",245829827,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_245829827.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_8.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",95918515,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_95918515.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_232.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",110811808,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_110811808.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_789.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",394666353,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_394666353.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_178.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",147241458,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_147241458.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_712.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",830496867,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_830496867.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_481.jpg,stable_diffusion_15_imag2img,img2img,"portrait at dusk, natural backlight",688887140,human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_688887140.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_1017.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,153387314,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_153387314.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_637.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,569628928,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_569628928.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_486.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,9099681,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_9099681.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_787.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,697953889,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_697953889.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_446.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,472553156,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_472553156.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_670.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,775705488,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_775705488.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_983.jpg,stable_diffusion_15_imag2img,img2img,portrait with subtle film grain effect,674395805,human_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_674395805.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_542.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,987728794,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_987728794.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_1009.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,661506579,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_661506579.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_132.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,923377731,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_923377731.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_704.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,93080562,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_93080562.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_870.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,150337961,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_150337961.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_87.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,633050170,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_633050170.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_8.jpg,stable_diffusion_15_imag2img,img2img,indoor portrait with white wall background,377458517,human_manipulated_stable_diffusion_15_imag2img_indoor-portrait-with-white-wall-background_377458517.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_534.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,337695740,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_337695740.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_991.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,266058600,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_266058600.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_68.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,692156072,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_692156072.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_236.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,266467313,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_266467313.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_1048.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,645317825,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_645317825.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_691.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,774360741,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_774360741.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_108.jpg,stable_diffusion_15_imag2img,img2img,portrait with warm golden hour tones,305931389,human_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_305931389.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_829.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,910417211,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_910417211.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_485.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,940412288,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_940412288.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_905.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,220595662,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_220595662.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_853.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,651682767,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_651682767.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_845.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,202557661,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_202557661.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_330.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,317335859,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_317335859.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_299.jpg,stable_diffusion_15_imag2img,img2img,portrait under cold neon light,58593157,human_manipulated_stable_diffusion_15_imag2img_portrait-under-cold-neon-light_58593157.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_759.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,531381643,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_531381643.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_8.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,121057585,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_121057585.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_759.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,536422668,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_536422668.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_576.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,637727240,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_637727240.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_139.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,567243312,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_567243312.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_607.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,387726246,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_387726246.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_441.jpg,stable_diffusion_15_imag2img,img2img,portrait outdoors with blurred city lights,141715544,human_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_141715544.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_277.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",924291999,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_924291999.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_677.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",451898780,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_451898780.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_927.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",586645527,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_586645527.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_214.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",185510712,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_185510712.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_307.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",827175324,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_827175324.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_139.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",17920107,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_17920107.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_333.jpg,stable_diffusion_15_imag2img,img2img,"office portrait, fluorescent lighting",72512550,human_manipulated_stable_diffusion_15_imag2img_office-portrait-fluorescent-lighting_72512550.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_607.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,281519300,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_281519300.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_704.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,42763765,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_42763765.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_209.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,847493682,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_847493682.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_164.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,543968993,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_543968993.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_1022.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,674922645,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_674922645.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_833.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,823678094,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_823678094.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_150.jpg,stable_diffusion_15_imag2img,img2img,portrait in kitchen environment,454810444,human_manipulated_stable_diffusion_15_imag2img_portrait-in-kitchen-environment_454810444.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_373.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,88506191,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_88506191.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_576.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,576132088,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_576132088.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_145.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,661475489,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_661475489.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_345.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,297928719,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_297928719.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_236.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,332759990,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_332759990.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_339.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,549009235,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_549009235.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_348.jpg,stable_diffusion_15_imag2img,img2img,portrait with slight vignette effect,867647912,human_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_867647912.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_345.jpg,stable_diffusion_15_imag2img,img2img,portrait near a window with natural light,575944566,human_manipulated_stable_diffusion_15_imag2img_portrait-near-a-window-with-natural-light_575944566.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_550.jpg,stable_diffusion_15_imag2img,img2img,portrait near a window with natural light,419544756,human_manipulated_stable_diffusion_15_imag2img_portrait-near-a-window-with-natural-light_419544756.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_333.jpg,stable_diffusion_15_imag2img,img2img,portrait near a window with natural light,681068260,human_manipulated_stable_diffusion_15_imag2img_portrait-near-a-window-with-natural-light_681068260.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_58.jpg,stable_diffusion_15_imag2img,img2img,portrait near a window with natural light,731277973,human_manipulated_stable_diffusion_15_imag2img_portrait-near-a-window-with-natural-light_731277973.jpg
