img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_dreamlike_photoreal_20_vast-tundra-under-cloudy-sky-lonely-feeling_644685430_noisy.jpg,1,0,0.0827,0.9979,0.0052,0.1657,0.0000,0.0003,0.9993,0.0000,1.0000,0.0000,0.4174,0.4225,0.1602
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-an-elderly-black-man-with-gray-beard-warm-indoor_810614026_noisy.jpg,1,1,0.6171,1.0000,0.0141,0.2643,0.1954,0.0000,1.0000,1.0000,0.0000,0.0000,0.4309,0.4191,0.1500
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-mailbox-on-wall_554965530_noisy.jpg,1,0,0.2775,0.9991,0.0058,0.0020,0.0775,0.9987,0.9982,0.0000,0.0000,1.0000,0.4837,0.2446,0.2716
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_dreamlike_photoreal_20_rolling-green-hills-in-spring-wildflowers-in-bloom_22932395_noisy.jpg,1,0,0.1188,1.0000,0.1673,0.5140,0.0005,0.0000,0.9979,0.0000,1.0000,0.0000,0.4833,0.4464,0.0702
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_801_noisy.jpg,0,0,0.0978,0.0008,0.9998,0.5609,0.4562,0.0000,0.0012,1.0000,0.0000,0.0000,0.4269,0.4567,0.1164
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_221_noisy.jpg,0,0,0.3378,0.4706,0.9999,0.5065,0.5238,0.0001,0.0000,1.0000,0.0000,0.0000,0.3914,0.3996,0.2090
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_740_noisy.jpg,0,1,0.5675,1.0000,0.4156,0.0063,0.0018,0.3206,0.0007,0.9953,0.0030,0.0017,0.3101,0.4300,0.2599
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_river-in-foggy-morning_549309977_noisy.jpg,1,0,0.1100,0.9998,0.0148,0.4954,0.0048,0.3658,0.0504,0.0006,0.9520,0.0474,0.4600,0.4833,0.0568
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1792_noisy.jpg,0,0,0.0018,0.6726,0.0034,0.3083,0.0000,0.0000,0.0008,0.0000,1.0000,0.0000,0.3352,0.4843,0.1805
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1560_noisy.jpg,0,0,0.1351,1.0000,0.0319,0.6981,0.0000,0.0000,0.9984,0.0039,0.7491,0.2470,0.4972,0.4327,0.0701
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_241_noisy.jpg,0,0,0.0061,0.9998,0.0066,0.0031,0.0035,0.0004,0.0328,0.0000,0.0046,0.9954,0.3924,0.3761,0.2315
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_555_noisy.jpg,0,0,0.1822,0.0412,0.9999,0.5934,0.8009,0.0000,0.0001,1.0000,0.0000,0.0000,0.4035,0.3698,0.2267
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_studio-portrait-of-a-middle-aged-caucasian-woman-with-freckl_636873049_noisy.jpg,1,1,0.5864,1.0000,0.0441,0.4102,0.0000,0.0000,0.9999,1.0000,0.0000,0.0000,0.4058,0.4215,0.1727
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1136_noisy.jpg,0,0,0.0200,0.9999,0.0162,0.3285,0.0000,0.0000,0.0283,0.0030,0.9437,0.0533,0.4140,0.4411,0.1449
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1850_noisy.jpg,0,0,0.0009,0.9852,0.0008,0.0010,0.0019,0.0000,0.0003,0.0000,0.0000,1.0000,0.4374,0.3170,0.2457
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_107_noisy.jpg,0,0,0.0001,0.9998,0.0020,0.0001,0.0001,0.0000,0.0004,0.0000,0.0002,0.9998,0.3936,0.3239,0.2825
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-wireless-headphones_717850307_noisy.jpg,1,1,0.9652,1.0000,0.9040,0.0675,0.8364,1.0000,0.9996,1.0000,0.0000,0.0000,0.4250,0.4433,0.1317
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_200_noisy.jpg,0,0,0.0034,0.0546,0.0002,0.2115,0.0000,0.0000,0.0005,0.0000,0.9695,0.0305,0.4771,0.3422,0.1808
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_840_noisy.jpg,0,0,0.4316,0.7765,0.9932,0.1948,0.0103,0.0265,0.9143,0.9857,0.0143,0.0000,0.3931,0.5353,0.0716
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_juggernaut_xl_v9_desert-oasis-with-palm-trees-and-water-pool_954553133_noisy.jpg,1,0,0.3035,0.9998,0.0354,0.9031,0.0001,0.0001,0.9999,0.0011,0.5484,0.4505,0.4438,0.3767,0.1795
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_93_noisy.jpg,0,0,0.0120,0.9117,0.0019,0.0211,0.0007,0.0000,0.0110,0.0000,0.0004,0.9996,0.4945,0.2802,0.2253
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_15_imag2img_small-house-with-garden-in-daylight_499352183_noisy.jpg,1,0,0.0300,0.9587,0.0882,0.0339,0.0234,0.0045,0.0626,0.0000,0.0000,1.0000,0.3924,0.3633,0.2443
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_juggernaut_xl_v9_coastal-cliffs-with-crashing-waves-overcast-weather_343154755_noisy.jpg,1,0,0.0059,0.0015,0.0019,0.1755,0.0000,0.0000,0.0570,0.0000,0.9990,0.0010,0.4146,0.4137,0.1717
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1942_noisy.jpg,0,0,0.0049,0.9991,0.0030,0.0057,0.0008,0.0000,0.0332,0.0000,0.1844,0.8156,0.4690,0.4053,0.1257
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_486_noisy.jpg,0,1,0.5760,1.0000,0.9867,0.4004,0.0033,0.0000,0.9982,1.0000,0.0000,0.0000,0.3803,0.4687,0.1510
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_988_noisy.jpg,0,0,0.0004,0.9998,0.0002,0.1992,0.0016,0.0000,0.0005,0.0000,1.0000,0.0000,0.3319,0.6137,0.0545
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_spring-scene-with-green-leaves_764369270_noisy.jpg,1,0,0.4494,1.0000,0.8775,0.5137,0.0018,0.0179,0.0944,0.0000,1.0000,0.0000,0.3789,0.4965,0.1246
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_stable_diffusion_15_desert-plateau-with-cacti-midday-sun_122824733_noisy.jpg,1,1,0.6607,0.2855,0.9992,0.9267,0.2140,0.2236,1.0000,0.0047,0.5799,0.4153,0.5011,0.3226,0.1763
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_513_noisy.jpg,0,0,0.0008,0.9517,0.0008,0.1719,0.0000,0.0001,0.0095,0.0000,1.0000,0.0000,0.4254,0.4989,0.0757
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_2_inpainting_add-ivy-on-facade_569876656_noisy.jpg,1,0,0.3244,0.9833,0.0403,0.1017,0.1241,0.9999,0.8766,0.0000,0.0000,1.0000,0.4820,0.2692,0.2488
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-person-silhouette-in-distance_457611678_noisy.jpg,1,0,0.1143,0.9996,0.0057,0.1728,0.0051,0.6301,0.0202,0.0000,1.0000,0.0000,0.3750,0.3415,0.2835
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_920_noisy.jpg,0,1,0.5854,0.9981,1.0000,0.6006,0.3888,0.0320,0.0000,0.9994,0.0006,0.0000,0.4115,0.4002,0.1883
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_photo-of-a-middle-aged-man-with-a-beard-wearing-a-suit-outdo_605306364_noisy.jpg,1,1,0.5746,1.0000,0.0687,0.3619,0.0003,0.0000,0.9999,1.0000,0.0000,0.0000,0.4356,0.4153,0.1490
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-with-neon-signs_130409445_noisy.jpg,1,0,0.0685,0.9997,0.0553,0.0809,0.0095,0.0597,0.1665,0.0000,0.0001,0.9999,0.4671,0.3466,0.1863
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1078_noisy.jpg,0,0,0.3762,0.9992,0.0112,0.2286,0.9962,0.9991,0.0005,0.0000,1.0000,0.0000,0.2549,0.4877,0.2574
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_dreamlike_photoreal_20_photo-of-an-elderly-couple-holding-hands-in-a-park_992041934_noisy.jpg,1,0,0.4559,0.9842,0.0061,0.1260,0.0000,0.0264,0.9999,0.6359,0.1994,0.1647,0.4207,0.3239,0.2554
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_74_noisy.jpg,0,0,0.0007,0.9549,0.0000,0.0496,0.0041,0.0000,0.0014,0.0000,1.0000,0.0000,0.3187,0.5882,0.0931
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_697_noisy.jpg,0,0,0.1325,0.0241,1.0000,0.5267,0.5815,0.0000,0.0000,1.0000,0.0000,0.0000,0.4145,0.3868,0.1987
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_15_imag2img_portrait-with-subtle-film-grain-effect_414331134_noisy.jpg,1,1,0.8153,0.9828,0.3606,0.4845,0.8951,0.5712,0.3370,1.0000,0.0000,0.0000,0.3629,0.4623,0.1748
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_253_noisy.jpg,0,1,0.6469,0.9428,0.9998,0.4881,0.8340,0.0129,0.0000,1.0000,0.0000,0.0000,0.4143,0.4177,0.1680
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_professional-headshot-of-a-south-asian-man-with-glasses-neut_274361984_noisy.jpg,1,1,0.5771,1.0000,0.1578,0.2751,0.0006,0.0006,1.0000,1.0000,0.0000,0.0000,0.4185,0.4277,0.1538
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-a-young-black-woman-with-braids-golden-hour-ligh_157243285_noisy.jpg,1,1,0.6203,1.0000,0.0037,0.1569,0.0000,0.0003,1.0000,0.9916,0.0016,0.0068,0.3645,0.3876,0.2478
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_inpainting_add-headscarf_971425308_noisy.jpg,1,1,0.7787,1.0000,0.9993,0.7338,0.0073,0.9720,0.9999,0.9830,0.0000,0.0170,0.4348,0.2298,0.3354
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_juggernaut_xl_v9_rolling-green-hills-in-spring-wildflowers-in-bloom_591957562_noisy.jpg,1,0,0.2216,1.0000,0.3881,0.4637,0.0000,0.0000,0.9988,0.0000,1.0000,0.0000,0.5214,0.4235,0.0551
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_852_noisy.jpg,0,1,0.5046,1.0000,0.4810,0.1095,0.0002,0.0206,0.0014,0.9997,0.0001,0.0002,0.3173,0.4459,0.2368
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1413_noisy.jpg,0,0,0.0088,0.9961,0.0004,0.1092,0.0071,0.0001,0.0008,0.0147,0.9853,0.0000,0.3425,0.4790,0.1785
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_manipulated_stable_diffusion_2_inpainting_add-headset-on-ears_309048028_noisy.jpg,1,1,0.7848,1.0000,0.9671,0.7298,0.0123,0.9920,1.0000,1.0000,0.0000,0.0000,0.4326,0.3842,0.1832
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_dreamlike_photoreal_20_traditional-chinese-pagoda-surrounded-by-trees_269108476_noisy.jpg,1,1,0.6508,0.8069,0.0682,0.9984,0.0494,0.0285,1.0000,0.0000,0.0000,1.0000,0.4558,0.2712,0.2731
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_2000_noisy.jpg,0,0,0.0094,0.9771,0.0159,0.0082,0.0116,0.0057,0.0117,0.0010,0.0000,0.9990,0.4091,0.3498,0.2411
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_juggernaut_xl_v9_small-countryside-church-with-stone-walls_171784436_noisy.jpg,1,0,0.2790,0.8892,0.0039,0.7884,0.0001,0.0000,0.9861,0.0000,0.4669,0.5331,0.4687,0.3934,0.1379
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1292_noisy.jpg,0,0,0.0411,0.1131,0.0021,0.0740,0.0173,0.0028,0.0007,0.0000,0.0012,0.9988,0.4040,0.3938,0.2021
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_673_noisy.jpg,0,0,0.0224,0.6119,0.0081,0.0240,0.0495,0.0007,0.0006,0.0000,0.0031,0.9969,0.4158,0.3318,0.2525
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1586_noisy.jpg,0,0,0.0004,0.6336,0.0005,0.0882,0.0001,0.0000,0.0012,0.0000,1.0000,0.0000,0.3637,0.4447,0.1916
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-airplane-in-sky_144225975_noisy.jpg,1,0,0.1880,0.1404,0.0003,0.0722,0.0025,0.9991,0.0677,0.0002,0.8707,0.1291,0.3731,0.3468,0.2801
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_105_noisy.jpg,0,1,0.7781,1.0000,0.8661,0.2398,0.4572,0.9699,0.1099,1.0000,0.0000,0.0000,0.3139,0.3921,0.2940
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1611_noisy.jpg,0,0,0.2451,0.9999,0.0033,0.0121,0.0006,0.7020,0.8349,0.0000,0.0000,1.0000,0.3651,0.3931,0.2418
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_juggernaut_xl_v9_desert-dunes-under-clear-blue-sky-detailed-sand-textures_697460536_noisy.jpg,1,0,0.3000,0.0908,0.5602,0.4635,0.0000,0.0001,0.9999,0.0000,1.0000,0.0000,0.4758,0.4844,0.0397
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-ivy-on-facade_363446379_noisy.jpg,1,0,0.1331,0.9997,0.0546,0.0156,0.0063,0.0372,0.9922,0.0000,0.0000,1.0000,0.5243,0.2351,0.2405
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_waterfall-in-cloudy-weather_283602088_noisy.jpg,1,0,0.4653,0.9999,0.2013,0.7820,0.0060,0.9994,0.9873,0.0000,0.7334,0.2666,0.4257,0.4020,0.1723
